"clbid","credits","crsid","department","enrolled","firstyear","grouptype","halfcredit","instructors","junior","learningmode","level","max","name","number","offerings","pn","prerequisites","section","semester","senior","sophomore","status","term","type","year"
"0000022208","1.0","0000000100","BIO","20","","","","David Van Wylen","","S","100","24","Biological Science","121","{'day': 'Mo', 'end': '10:00', 'location': 'SC 280', 'start': '09:05'};{'day': 'We', 'end': '10:00', 'location': 'SC 280', 'start': '09:05'};{'day': 'Fr', 'end': '10:00', 'location': 'SC 280', 'start': '09:05'};{'day': 'Tu', 'end': '10:00', 'location': 'SC 273', 'start': '08:00'}","False","False","A","3","","","O","19973","Research","1997"
"0000022209","1.0","0000000100","BIO","18","","","","David Van Wylen","","S","100","24","Biological Science","121","{'day': 'Mo', 'end': '10:00', 'location': 'SC 280', 'start': '09:05'};{'day': 'We', 'end': '10:00', 'location': 'SC 280', 'start': '09:05'};{'day': 'Fr', 'end': '10:00', 'location': 'SC 280', 'start': '09:05'};{'day': 'Tu', 'end': '13:45', 'location': 'SC 273', 'start': '11:45'}","False","False","B","3","","","O","19973","Research","1997"
"0000022210","1.0","0000000100","BIO","24","","","","David Van Wylen","","S","100","24","Biological Science","121","{'day': 'Mo', 'end': '10:00', 'location': 'SC 280', 'start': '09:05'};{'day': 'We', 'end': '10:00', 'location': 'SC 280', 'start': '09:05'};{'day': 'Fr', 'end': '10:00', 'location': 'SC 280', 'start': '09:05'};{'day': 'Tu', 'end': '17:00', 'location': 'SC 273', 'start': '15:00'}","False","False","C","3","","","C","19973","Research","1997"
"0000022211","1.0","0000000108","BIO","24","","","","Michael Swift","","S","100","24","Organismic Biology","126","{'day': 'Mo', 'end': '08:55', 'location': 'SC 278', 'start': '08:00'};{'day': 'We', 'end': '08:55', 'location': 'SC 278', 'start': '08:00'};{'day': 'Fr', 'end': '08:55', 'location': 'SC 278', 'start': '08:00'};{'day': 'Tu', 'end': '10:30', 'location': 'SC 211', 'start': '08:00'}","False","False","A","3","","","C","19973","Research","1997"
"0000022212","1.0","0000000108","BIO","25","","","","Michael Swift","","S","100","24","Organismic Biology","126","{'day': 'Mo', 'end': '08:55', 'location': 'SC 278', 'start': '08:00'};{'day': 'We', 'end': '08:55', 'location': 'SC 278', 'start': '08:00'};{'day': 'Fr', 'end': '08:55', 'location': 'SC 278', 'start': '08:00'};{'day': 'Tu', 'end': '17:30', 'location': 'SC 211', 'start': '15:00'}","False","False","B","3","","","C","19973","Research","1997"
"0000022213","1.0","0000000108","BIO","19","","","","Louis Henry Kermott","","S","100","24","Organismic Biology","126","{'day': 'Mo', 'end': '11:40', 'location': 'SC 278', 'start': '10:45'};{'day': 'We', 'end': '11:40', 'location': 'SC 278', 'start': '10:45'};{'day': 'Fr', 'end': '11:40', 'location': 'SC 278', 'start': '10:45'};{'day': 'Mo', 'end': '15:25', 'location': 'SC 211', 'start': '12:55'}","False","False","D","3","","","O","19973","Research","1997"
"0000022214","1.0","0000000108","BIO","23","","","","Louis Henry Kermott","","S","100","24","Organismic Biology","126","{'day': 'Mo', 'end': '11:40', 'location': 'SC 278', 'start': '10:45'};{'day': 'We', 'end': '11:40', 'location': 'SC 278', 'start': '10:45'};{'day': 'Fr', 'end': '11:40', 'location': 'SC 278', 'start': '10:45'};{'day': 'Tu', 'end': '14:15', 'location': 'SC 211', 'start': '11:45'}","False","False","E","3","","","O","19973","Research","1997"
"0000022215","1.0","0000000108","BIO","20","","","","Louis Henry Kermott","","S","100","24","Organismic Biology","126","{'day': 'Mo', 'end': '11:40', 'location': 'SC 278', 'start': '10:45'};{'day': 'We', 'end': '11:40', 'location': 'SC 278', 'start': '10:45'};{'day': 'Fr', 'end': '11:40', 'location': 'SC 278', 'start': '10:45'};{'day': 'Th', 'end': '10:30', 'location': 'SC 211', 'start': '08:00'}","False","False","F","3","","","O","19973","Research","1997"
"0000022219","1.0","0000000118","BIO","24","","","","Staff","","S","200","24","Terrestrial Ecology","226","","False","False","","3","","","O","19973","Research","1997"
"0000022220","1.0","0000000119","BIO","20","","","","Kristen Pritchard","","S","200","24","Microbiology","231","{'day': 'Mo', 'end': '11:40', 'location': 'SC 280', 'start': '10:45'};{'day': 'We', 'end': '11:40', 'location': 'SC 280', 'start': '10:45'};{'day': 'Fr', 'end': '11:40', 'location': 'SC 280', 'start': '10:45'};{'day': 'Tu', 'end': '15:00', 'location': 'SC 263', 'start': '12:00'}","False","False","A","3","","","O","19973","Research","1997"
"0000022221","1.0","0000000119","BIO","20","","","","Kristen Pritchard","","S","200","24","Microbiology","231","{'day': 'Mo', 'end': '11:40', 'location': 'SC 280', 'start': '10:45'};{'day': 'We', 'end': '11:40', 'location': 'SC 280', 'start': '10:45'};{'day': 'Fr', 'end': '11:40', 'location': 'SC 280', 'start': '10:45'};{'day': 'We', 'end': '17:00', 'location': 'SC 263', 'start': '14:00'}","False","False","B","3","","","O","19973","Research","1997"
"0000022222","1.0","0000000119","BIO","18","","","","Kristen Pritchard","","S","200","24","Microbiology","231","{'day': 'Mo', 'end': '11:40', 'location': 'SC 280', 'start': '10:45'};{'day': 'We', 'end': '11:40', 'location': 'SC 280', 'start': '10:45'};{'day': 'Fr', 'end': '11:40', 'location': 'SC 280', 'start': '10:45'};{'day': 'Th', 'end': '16:20', 'location': 'SC 263', 'start': '13:20'}","False","False","C","3","","","O","19973","Research","1997"
"0000022223","1.0","0000000122","BIO","15","","","","Paul Cabe","","S","200","24","Intermediate Genetics","233","{'day': 'Mo', 'end': '12:45', 'location': 'SC 280', 'start': '11:50'};{'day': 'We', 'end': '12:45', 'location': 'SC 280', 'start': '11:50'};{'day': 'Fr', 'end': '12:45', 'location': 'SC 280', 'start': '11:50'};{'day': 'We', 'end': '17:00', 'location': 'SC 229', 'start': '14:00'}","False","False","A","3","","","O","19973","Research","1997"
"0000022224","1.0","0000000122","BIO","16","","","","Paul Cabe","","S","200","24","Intermediate Genetics","233","{'day': 'Mo', 'end': '12:45', 'location': 'SC 280', 'start': '11:50'};{'day': 'We', 'end': '12:45', 'location': 'SC 280', 'start': '11:50'};{'day': 'Fr', 'end': '12:45', 'location': 'SC 280', 'start': '11:50'};{'day': 'Th', 'end': '11:00', 'location': 'SC 229', 'start': '08:00'}","False","False","B","3","","","O","19973","Research","1997"
"0000022225","1.0","0000000122","BIO","14","","","","Paul Cabe","","S","200","24","Intermediate Genetics","233","{'day': 'Mo', 'end': '12:45', 'location': 'SC 280', 'start': '11:50'};{'day': 'We', 'end': '12:45', 'location': 'SC 280', 'start': '11:50'};{'day': 'Fr', 'end': '12:45', 'location': 'SC 280', 'start': '11:50'};{'day': 'Th', 'end': '17:00', 'location': 'SC 229', 'start': '14:00'}","False","False","C","3","","","O","19973","Research","1997"
"0000022226","1.0","0000001535","BIO","11","","","","Anne Walter","","S","200","16","Cell Physiology","241","{'day': 'Mo', 'end': '08:55', 'location': 'SC 274', 'start': '08:00'};{'day': 'We', 'end': '08:55', 'location': 'SC 274', 'start': '08:00'};{'day': 'Fr', 'end': '08:55', 'location': 'SC 274', 'start': '08:00'};{'day': 'Th', 'end': '11:00', 'location': 'SC 227', 'start': '08:00'}","False","False","A","3","","","O","19973","Research","1997"
"0000022227","1.0","0000001535","BIO","14","","","","Anne Walter","","S","200","16","Cell Physiology","241","{'day': 'Mo', 'end': '08:55', 'location': 'SC 274', 'start': '08:00'};{'day': 'We', 'end': '08:55', 'location': 'SC 274', 'start': '08:00'};{'day': 'Fr', 'end': '08:55', 'location': 'SC 274', 'start': '08:00'};{'day': 'Th', 'end': '16:20', 'location': 'SC 227', 'start': '13:20'}","False","False","B","3","","","O","19973","Research","1997"
"0000022228","1.0","0000000124","BIO","23","","","","Eugene Bakko","","S","200","16","Vertebrate Biology","242","{'day': 'Tu', 'end': '09:25', 'location': 'SC 278', 'start': '08:00'};{'day': 'Th', 'end': '09:25', 'location': 'SC 278', 'start': '08:00'};{'day': 'Tu', 'end': '16:20', 'location': 'SC 269', 'start': '13:20'}","False","False","A","3","","","C","19973","Research","1997"
"0000022229","1.0","0000000124","BIO","16","","","","Eugene Bakko","","S","200","16","Vertebrate Biology","242","{'day': 'Tu', 'end': '09:25', 'location': 'SC 278', 'start': '08:00'};{'day': 'Th', 'end': '09:25', 'location': 'SC 278', 'start': '08:00'};{'day': 'Th', 'end': '16:20', 'location': 'SC 269', 'start': '13:20'}","False","False","B","3","","","C","19973","Research","1997"
"0000022230","1.0","0000000124","BIO","11","","","","Eugene Bakko","","S","200","999","Vertebrate Biology","242","{'day': 'Tu', 'end': '09:25', 'location': 'SC 278', 'start': '08:00'};{'day': 'Th', 'end': '09:25', 'location': 'SC 278', 'start': '08:00'};{'day': 'Fr', 'end': '16:00', 'location': 'SC 269', 'start': '14:00'}","False","False","C","3","","","O","19973","Research","1997"
"0000022231","1.0","0000000134","BIO","7","","","","John Giannini","","S","200","16","Plant Physiology","251","{'day': 'Mo', 'end': '11:40', 'location': 'SC 274', 'start': '10:45'};{'day': 'We', 'end': '11:40', 'location': 'SC 274', 'start': '10:45'};{'day': 'Fr', 'end': '11:40', 'location': 'SC 274', 'start': '10:45'};{'day': 'Mo', 'end': '15:55', 'location': 'SC 227', 'start': '12:55'}","False","False","A","3","","","O","19973","Research","1997"
"0000022232","1.0","0000000134","BIO","5","","","","John Giannini","","S","200","16","Plant Physiology","251","{'day': 'Mo', 'end': '11:40', 'location': 'SC 274', 'start': '10:45'};{'day': 'We', 'end': '11:40', 'location': 'SC 274', 'start': '10:45'};{'day': 'Fr', 'end': '11:40', 'location': 'SC 274', 'start': '10:45'};{'day': 'Tu', 'end': '16:20', 'location': 'SC 227', 'start': '13:20'}","False","False","B","3","","","O","19973","Research","1997"
"0000022236","1.0","0000000153","BIO","1","","","","Louis Henry Kermott","","S","200","999","Academic Internship","294","","True","False","","3","","","O","19973","Research","1997"
"0000022237","1.0","0000000154","BIO","1","","","","Theodore Johnson","","S","200","999","IS/Immunology","298","","False","False","","3","","","O","19973","Research","1997"
"0000022238","1.0","0000000154","BIO","1","","","","Theodore Johnson","","S","200","999","IS/Psychoneuro Immun","298","","False","False","A","3","","","O","19973","Research","1997"
"0000022239","1.0","0000000159","BIO","10","","","","Lauri Sammartano","","S","300","12","Molecular Biology","364","{'day': 'Tu', 'end': '11:00', 'location': 'SC 274', 'start': '09:35'};{'day': 'Th', 'end': '11:00', 'location': 'SC 274', 'start': '09:35'};{'day': 'Tu', 'end': '16:20', 'location': 'SC 229', 'start': '13:20'}","False","False","","3","","","O","19973","Research","1997"
"0000022240","1.0","0000000164","BIO","11","","","","Eric Cole","","S","300","12","Developmental Biology","372","{'day': 'Tu', 'end': '13:10', 'location': 'SC 274', 'start': '11:45'};{'day': 'Th', 'end': '13:10', 'location': 'SC 274', 'start': '11:45'};{'day': 'We', 'end': '17:00', 'location': 'SC 253', 'start': '14:00'}","False","False","A","3","","","O","19973","Research","1997"
"0000022241","1.0","0000000164","BIO","9","","","","Eric Cole","","S","300","12","Developmental Biology","372","{'day': 'Tu', 'end': '13:10', 'location': 'SC 274', 'start': '11:45'};{'day': 'Th', 'end': '13:10', 'location': 'SC 274', 'start': '11:45'};{'day': 'Th', 'end': '16:20', 'location': 'SC 253', 'start': '13:20'}","False","False","B","3","","","O","19973","Research","1997"
"0000022242","1.0","0000000172","BIO","5","","","","John Giannini","","S","300","16","Top: Stress Biology","391","{'day': 'Th', 'end': '16:20', 'location': 'SC 210', 'start': '13:20'}","False","False","","3","","","O","19973","Topic","1997"
"0000022243","1.0","0000000175","BIO","2","","","","Eric Cole","","S","300","999","IR/Cyto Genetics","398","","False","False","","3","","","O","19973","Research","1997"
"0000022244","1.0","0000000175","BIO","2","","","","Paul Cabe","","S","300","999","IR/Tech of Molec Ecol","398","","False","False","A","3","","","O","19973","Research","1997"
"0000022245","1.0","0000000175","BIO","1","","","","Lauri Sammartano","","S","300","999","IR/Molecular Stress","398","","False","False","B","3","","","O","19973","Research","1997"
"0000022246","1.0","0000000175","BIO","1","","","","Lauri Sammartano","","S","300","999","IR/Mastitis & Resist","398","","False","False","C","3","","","O","19973","Research","1997"
"0000022247","1.0","0000000175","BIO","1","","","","David Van Wylen","","S","300","999","IR/Myocardialischemia","398","","False","False","D","3","","","O","19973","Research","1997"
"0000022248","1.0","0000000175","BIO","1","","","","Louis Henry Kermott","","S","300","999","IR/Wrgn Song Behavior","398","","False","False","E","3","","","O","19973","Research","1997"
"0000022249","1.0","0000000175","BIO","1","","","","Louis Henry Kermott","","S","300","999","IR/Avian Repro Behav","398","","False","False","F","3","","","O","19973","Research","1997"
"0000022250","1.0","0000000182","CHEM","38","","","","Wesley Pearson","","S","100","48","Fundamentls of Chem","111","{'day': 'Tu', 'end': '11:00', 'location': 'SC 378', 'start': '09:35'};{'day': 'Th', 'end': '11:00', 'location': 'SC 378', 'start': '09:35'}","False","False","","3","","","O","19973","Research","1997"
"0000022251","0.0","0000000183","CHEM","0","","","","Beth Abdella","","S","100","24","Fundamentls Chem/Lab","111","{'day': 'Th', 'end': '14:45', 'location': 'SC 371', 'start': '11:45'}","False","False","A","3","","","O","19973","Lab","1997"
"0000022252","0.0","0000000183","CHEM","0","","","","Paul T. Jackson","","S","100","24","Fundamentls Chem/Lab","111","{'day': 'Fr', 'end': '17:00', 'location': 'SC 378/371', 'start': '14:00'}","False","False","B","3","","","O","19973","Lab","1997"
"0000022253","1.0","0000001550","CHEM","18","","","","Gail Carlson","","S","100","999","Elem Bio-Organic Chem","122","{'day': 'Tu', 'end': '09:25', 'location': 'SC 310', 'start': '08:00'};{'day': 'Th', 'end': '09:25', 'location': 'SC 310', 'start': '08:00'}","False","False","","3","","","O","19973","Research","1997"
"0000022254","0.0","0000001551","CHEM","0","","","","Gail Carlson","","S","100","999","Elem Bio-Org Chem/Lab","122","{'day': 'We', 'end': '17:00', 'location': 'SC 371/310', 'start': '14:00'}","False","False","","3","","","O","19973","Lab","1997"
"0000022255","1.0","0000000194","CHEM","41","","","","Robert Hanson","","S","100","55","Chemical Reactions","126","{'day': 'Mo', 'end': '08:55', 'location': 'SC 378', 'start': '08:00'};{'day': 'We', 'end': '08:55', 'location': 'SC 378', 'start': '08:00'};{'day': 'Fr', 'end': '08:55', 'location': 'SC 378', 'start': '08:00'}","False","False","A","3","","","O","19973","Research","1997"
