"clbid","credits","crsid","department","description","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","name","notes","number","offerings","pn","prerequisites","section","semester","status","term","title","type","year"
"0000097052","1.0","0000001074","PHYS","This two-semester in-depth course addresses topics in classical and modern physics using algebra, geometry, and some calculus. The course is well-suited for students of biology or chemistry or for those desiring a thorough introduction beyond the high-school level.;Physics 125 explores the character of electric and magnetic forces and fields, then takes up the extended description of matter (vibrations, waves - sound and light). Finally, both particle and wave descriptions are shown to be necessary for discussing quantum mechanics and its application to atomic physics. One laboratory meeting per week. Prerequisites: Mathematics 120 or equivalent and Physics 124. Offered annually in the spring semester.","7","0","1","4","2","NSC;NSL;SED","Trout, Stanley","{'fsnum': '26213', 'name': 'Trout, Stanley'}","100","Principles Physics II","Physics 124 and 125 will be taught consecutively outside of standard term dates:;Physics 124 term dates: Monday, June 2 - Friday, June 27, 2014                  ;Physics 125 term dates: Monday, June 30 - Monday, July 28, 2014","125","{'day': 'Mo', 'end': '12:00', 'location': 'RNS 210', 'start': '22:00'};{'day': 'Tu', 'end': '12:00', 'location': 'RNS 210', 'start': '22:00'};{'day': 'We', 'end': '12:00', 'location': 'RNS 210', 'start': '22:00'};{'day': 'Th', 'end': '12:00', 'location': 'RNS 210', 'start': '22:00'};{'day': 'Fr', 'end': '12:00', 'location': 'RNS 210', 'start': '22:00'}","False","Prerequisites: Mathematics 120 or equivalent and Physics 124. Offered annually in the spring semester.","","5","O","20135","Principles of Physics II","Research","2013"
"0000097053","","0000001075","PHYS","","7","0","1","4","2","","Trout, Stanley","{'fsnum': '26213', 'name': 'Trout, Stanley'}","100","Principles Physics II Lab","Physics 124 and 125 will be taught consecutively outside of standard term dates:;Physics 124 term dates: Monday, June 2 - Friday, June 27, 2014                  ;Physics 125 term dates: Monday, June 30 - Monday, July 28, 2014","125","{'day': 'Mo', 'end': '15:30', 'location': 'RNS 292', 'start': '13:00'};{'day': 'We', 'end': '15:30', 'location': 'RNS 292', 'start': '13:00'}","False","","","5","O","20135","","Lab","2013"
"0000097826","1.0","0000001104","PSCI","Why do some societies have democratic political systems and others authoritarian ones? What is democracy? Is it the norm or the exception? The course provides a foundation for the understanding of contemporary political regimes. It applies the major concepts of comparative analysis to the political systems of Western and non-Western societies. Offered annually.","14","0","0","0","14","HBS;MCG;MCS-G","Pahnke, Anthony","{'fsnum': '25362', 'name': 'Pahnke, Anthony'}","100","Comparative Politics","","112","","False","False","","5","C","20135","","Research","2013"
"0000097081","1.0","0000024283","PSCI","This class aims to better understand the racial climate in the United States, and the implications for American politics. Differing analytical perspectives from political science are used to interpret the role of race. A central question is the degree to which ""post-racial"" is an appropriate description of the current era. Offered annually. Counts toward political science major.","8","0","3","4","1","HBS;MCD","Anderson, Joshua","{'fsnum': '23508', 'name': 'Anderson, Joshua'}","200","Race and Politics","","244","{'day': 'Mo', 'end': '11:30', 'location': 'RNS 284', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'RNS 284', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'RNS 284', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'RNS 284', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'RNS 284', 'start': '10:00'}","False","False","","5","O","20135","Race and American Politics","Research","2013"
"0000097781","0.25","0000001139","PSCI","Internships are available in a wide variety of public and private institutions including the state legislature, lobbying agencies, law firms, media organizations, corporate public affairs, and executive agencies.","2","0","1","1","0","","Thalhammer, Kris","{'fsnum': '8281', 'name': 'Thalhammer, Kris'}","200","Academic Internship","","294","","True","False","","5","O","20135","Internship","Research","2013"
"0000097765","0.5","0000001178","PSYCH","","1","0","1","0","0","","Oriña, M. Minda","{'fsnum': '20155', 'name': 'Oriña, M. Minda'}","200","Academic Internship","","294","","True","","","5","O","20135","","Research","2013"
"0000097813","0.25","0000001178","PSYCH","","1","0","1","0","0","","Oriña, M. Minda","{'fsnum': '20155', 'name': 'Oriña, M. Minda'}","200","Academic Internship","","294","","True","","A","5","O","20135","","Research","2013"
"0000097834","0.25","0000001178","PSYCH","","1","0","1","0","0","","Loebach, Jeremy","{'fsnum': '21097', 'name': 'Loebach, Jeremy'}","200","Academic Internship","","294","","True","","B","5","O","20135","","Research","2013"
"0000096745","1.0","0000020060","REL","Nordic sagas and modern fantastic works pose important theological questions such as the nature of reality in fantasy, the Eucharist, honor, gift, the grotesque, evil, salvation in Christ, and life as a quest and pilgrimage. They also raise valuable problems about the relationship of Christian beliefs to cultural narratives. Students may read J.R.R. Tolkien's Lord of the Rings, G.K. Chesterton, and selected sagas, alongside of theological writings. Prerequisite: BTS-B. Offered during Interim.","8","1","0","6","1","BTS-T;WRI","Walter, Gregory A.","{'fsnum': '16642', 'name': 'Walter, Gregory A.'}","200","Quest of Ring/Grail/Cross","","238","{'day': 'Mo', 'end': '09:30', 'location': 'OM 110', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'OM 110', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'OM 110', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'OM 110', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'OM 110', 'start': '08:00'}","False","BTS-B. Offered during Interim.","","5","O","20135","Quest of the Ring, the Grail, and the Cross","Research","2013"
"0000096746","1.0","0000001237","REL","The nature and boundaries of communities, as well as the quality of relationships within communities, are determined by theology as well as by social, political, and ethnic factors. Students examine the ways in which the world's religions, particularly Christianity, have interpreted each other's significance and truth claims and considers the ethical implications of these different responses. Prerequisite: completion of BTS-T or permission of instructor.","4","0","0","2","2","EIN;WRI","Walter, Gregory A.","{'fsnum': '16642', 'name': 'Walter, Gregory A.'}","200","Rel Pluralsm/Communit","","293","{'day': 'Mo', 'end': '11:30', 'location': 'OM 110', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'OM 110', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'OM 110', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'OM 110', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'OM 110', 'start': '10:00'}","False","completion of BTS-T or permission of instructor.","","5","O","20135","Religious Pluralism and the Nature of Community","Research","2013"
