"clbid","credits","crsid","department","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","max","name","number","offerings","pn","section","semester","status","term","type","year"
"0000020960","1.0","0000000731","MATH","5","1","0","2","2","MAR","Gloor, Philip","{'fsnum': '2653', 'name': 'Gloor, Philip'}","100","","Calculus I","120","","False","","4","O","19964","Research","1996"
"0000020961","1.0","0000000733","MATH","2","0","1","0","1","MAR","Gloor, Philip","{'fsnum': '2653', 'name': 'Gloor, Philip'}","100","","Calculus II","126","","False","","4","O","19964","Research","1996"
"0000020962","1.0","0000000803","MUSIC","1","0","0","0","1","ALS-A","Graber, Kenneth G.","{'fsnum': '2670', 'name': 'Graber, Kenneth G.'}","100","","The Music Spectrum","130","{'day': 'Mo', 'end': '14:00', 'location': 'CHM 239', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'CHM 239', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'CHM 239', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'CHM 239', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'CHM 239', 'start': '12:30'}","False","","4","O","19964","Research","1996"
"0000020963","1.0","0000000821","MUSIC","3","0","0","1","2","","Forsberg, Charles","{'fsnum': '2241', 'name': 'Forsberg, Charles'}","200","","Counterpoint","222","","False","","4","O","19964","Research","1996"
"0000020964","1.0","0000000822","MUSIC","2","1","0","0","1","ALS-A","Mahr, Timothy","{'fsnum': '5013', 'name': 'Mahr, Timothy'}","200","","Composition I","223","{'day': 'Mo', 'end': '14:00', 'location': 'ARR', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'ARR', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'ARR', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'ARR', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'ARR', 'start': '12:30'}","False","","4","O","19964","Research","1996"
"0000020965","1.0","0000001974","MUSIC","2","0","0","0","2","ALS-A","Forsberg, Charles","{'fsnum': '2241', 'name': 'Forsberg, Charles'}","200","","The Art of Music","230","{'day': 'Mo', 'end': '09:30', 'location': 'CHM 239', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'CHM 239', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'CHM 239', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'CHM 239', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'CHM 239', 'start': '08:00'}","False","","4","O","19964","Research","1996"
"0000020966","1.0","0000000847","MUSIC","1","0","0","0","1","","Mahr, Timothy","{'fsnum': '5013', 'name': 'Mahr, Timothy'}","200","","IS/Marching Band Tech","298","","False","","4","O","19964","Research","1996"
"0000020967","1.0","0000000851","MUSIC","1","0","0","1","0","","Mahr, Timothy","{'fsnum': '5013', 'name': 'Mahr, Timothy'}","300","","Composition II","324","{'day': 'Mo', 'end': '11:30', 'location': 'ARR', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'ARR', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'ARR', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'ARR', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'ARR', 'start': '10:00'}","False","","4","O","19964","Research","1996"
"0000020968","1.0","0000000866","MUSIC","1","0","0","0","1","","Kiester, Gloria J.","{'fsnum': '4296', 'name': 'Kiester, Gloria J.'}","300","","IR/String Pedagogy","398","","False","","4","O","19964","Research","1996"
"0000020982","0.5","0000002388","PARAR","1","0","0","0","0","","","","200","","Para Half Tut (Lv 2)","202","","True","A","4","O","19964","Research","1996"
"0000020971","0.25","0000001007","PEAC","3","1","1","0","1","PHA","Deason, Gary","{'fsnum': '1355', 'name': 'Deason, Gary'}","100","","Canoeing","125","","False","","4","O","19964","Research","1996"
"0000020972","0.25","0000002185","PEAC","3","0","0","3","0","PHA","Hauck, Bob","{'fsnum': '3165', 'name': 'Hauck, Bob'}","100","","Individual Fitness","132","","False","","4","O","19964","Research","1996"
"0000020973","0.25","0000002185","PEAC","1","0","1","0","0","PHA","Staff","{'fsnum': '', 'name': 'Staff'}","100","","Individual Fitness","132","","False","A","4","O","19964","Research","1996"
"0000020974","0.25","0000002188","PEAC","5","0","2","0","3","","Daymont, Christine","{'fsnum': '1358', 'name': 'Daymont, Christine'}","100","","Weight Training","140","","False","","4","O","19964","Research","1996"
