"clbid","credits","crsid","department","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","max","max_fy","max_jr","max_so","max_sr","name","number","offerings","pn","section","semester","status","term","type","year"
"0000003725","1.0","0000000076","ASIAN","20","19","0","0","1","FYW","Larson, Phyllis Hyland","{'fsnum': '4624', 'name': 'Larson, Phyllis Hyland'}","100","20","","","","","Family & Self/E Asia","111","{'day': 'Tu', 'end': '13:10', 'location': 'M 15', 'start': '23:45'};{'day': 'Th', 'end': '14:05', 'location': 'M 15', 'start': '12:45'}","False","","1","C","20021","Research","2002"
"0000003726","1.0","0000000083","ASIAN","28","0","10","8","10","ALS-A;MCS-G","Wan, Pin Pin","{'fsnum': '8890', 'name': 'Wan, Pin Pin'}","100","30","","","","","Cont China Thru Film","156","{'day': 'Mo', 'end': '11:40', 'location': 'M 1', 'start': '10:45'};{'day': 'We', 'end': '11:40', 'location': 'M 1', 'start': '10:45'};{'day': 'Fr', 'end': '11:40', 'location': 'M 1', 'start': '10:45'}","False","","1","C","20021","Research","2002"
"0000003727","1.0","0000000084","ASIAN","17","1","0","16","0","HBS","Dalgaard, Bruce","{'fsnum': '1333', 'name': 'Dalgaard, Bruce'}","200","20","","","","","Rice & Society/E Asia","211","{'day': 'Tu', 'end': '14:45', 'location': 'M 30', 'start': '13:20'};{'day': 'Th', 'end': '15:35', 'location': 'M 30', 'start': '14:15'}","False","","1","C","20021","Research","2002"
"0000003728","1.0","0000000097","ASIAN","1","0","0","0","1","","Entenmann, Robert","{'fsnum': '1821', 'name': 'Entenmann, Robert'}","300","","","","","","IR/Cambodian Refugees","398","","False","","1","O","20021","Research","2002"
"0000003729","1.0","0000000098","ASIAN","21","0","4","1","16","EIN;WRI","Entenmann, Robert","{'fsnum': '1821', 'name': 'Entenmann, Robert'}","300","20","","","","","Asia Seminar","399","{'day': 'Tu', 'end': '11:00', 'location': 'H 301', 'start': '09:35'};{'day': 'Th', 'end': '10:50', 'location': 'H 301', 'start': '09:30'}","False","","1","C","20021","Seminar","2002"
"0000003730","1.0","0000000102","BIO","28","1","15","4","8","NSC;NSL","Meinhardt, Daniel","{'fsnum': '10508', 'name': 'Meinhardt, Daniel'}","100","24","","","","","Human Biology","123","{'day': 'Mo', 'end': '10:00', 'location': 'SC 280', 'start': '09:05'};{'day': 'We', 'end': '10:00', 'location': 'SC 280', 'start': '09:05'};{'day': 'Fr', 'end': '10:00', 'location': 'SC 280', 'start': '09:05'};{'day': 'We', 'end': '16:00', 'location': 'SC 253', 'start': '14:00'}","False","A","1","C","20021","Research","2002"
"0000003731","1.0","0000000102","BIO","21","0","5","7","9","NSC;NSL","Meinhardt, Daniel","{'fsnum': '10508', 'name': 'Meinhardt, Daniel'}","100","24","","","","","Human Biology","123","{'day': 'Mo', 'end': '10:00', 'location': 'SC 280', 'start': '09:05'};{'day': 'We', 'end': '10:00', 'location': 'SC 280', 'start': '09:05'};{'day': 'Fr', 'end': '10:00', 'location': 'SC 280', 'start': '09:05'};{'day': 'Th', 'end': '10:00', 'location': 'SC 253', 'start': '08:00'}","False","B","1","C","20021","Research","2002"
"0000003732","1.0","0000000102","BIO","24","0","6","9","9","NSC;NSL","Meinhardt, Daniel","{'fsnum': '10508', 'name': 'Meinhardt, Daniel'}","100","24","","","","","Human Biology","123","{'day': 'Mo', 'end': '10:00', 'location': 'SC 280', 'start': '09:05'};{'day': 'We', 'end': '10:00', 'location': 'SC 280', 'start': '09:05'};{'day': 'Fr', 'end': '10:00', 'location': 'SC 280', 'start': '09:05'};{'day': 'Th', 'end': '15:00', 'location': 'SC 253', 'start': '13:00'}","False","C","1","C","20021","Research","2002"
"0000003733","1.0","0000000106","BIO","19","16","2","1","0","NSC;NSL","Hellyer, Nathan","{'fsnum': '14177', 'name': 'Hellyer, Nathan'}","100","24","","","","","Cellular Bio & Genetics","125","{'day': 'Mo', 'end': '08:55', 'location': 'SC 278', 'start': '08:00'};{'day': 'We', 'end': '08:55', 'location': 'SC 278', 'start': '08:00'};{'day': 'Fr', 'end': '08:55', 'location': 'SC 278', 'start': '08:00'};{'day': 'We', 'end': '13:15', 'location': 'SC 273', 'start': '22:45'}","False","A","1","C","20021","Research","2002"
"0000003734","1.0","0000000106","BIO","29","19","0","10","0","NSC;NSL","Hellyer, Nathan","{'fsnum': '14177', 'name': 'Hellyer, Nathan'}","100","24","","","","","Cellular Bio & Genetics","125","{'day': 'Mo', 'end': '08:55', 'location': 'SC 278', 'start': '08:00'};{'day': 'We', 'end': '08:55', 'location': 'SC 278', 'start': '08:00'};{'day': 'Fr', 'end': '08:55', 'location': 'SC 278', 'start': '08:00'};{'day': 'Th', 'end': '10:30', 'location': 'SC 273', 'start': '08:00'}","False","B","1","C","20021","Research","2002"
