"clbid","credits","crsid","department","description","enrolled","firstyear","halfcredit","instructors","junior","learningmode","level","max","name","notes","number","offerings","pn","prerequisites","section","semester","senior","sophomore","status","term","title","type","year"
"0000009181","1.0","0000000100","BIO","","23","","","Diane M. Maher","","S","100","24","Biological Science","","121","{'day': 'Tu', 'end': '11:00', 'location': 'SC 280', 'start': '09:35'};{'day': 'Th', 'end': '10:50', 'location': 'SC 280', 'start': '09:30'};{'day': 'We', 'end': '13:50', 'location': 'SC 253', 'start': '11:50'}","False","False","C","3","","","C","20043","","Research","2004"
"0000009182","1.0","0000000100","BIO","","27","","","Diane M. Maher","","S","100","24","Biological Science","","121","{'day': 'Tu', 'end': '11:00', 'location': 'SC 280', 'start': '09:35'};{'day': 'Th', 'end': '10:50', 'location': 'SC 280', 'start': '09:30'};{'day': 'We', 'end': '17:00', 'location': 'SC 253', 'start': '15:00'}","False","False","D","3","","","C","20043","","Research","2004"
"0000009183","1.0","0000000108","BIO","","6","","","Kathleen L. Shea","0/10","S","100","24","Organismic Biology","","126","{'day': 'Mo', 'end': '10:00', 'location': 'SC 278', 'start': '09:05'};{'day': 'We', 'end': '10:00', 'location': 'SC 278', 'start': '09:05'};{'day': 'Fr', 'end': '10:00', 'location': 'SC 278', 'start': '09:05'};{'day': 'We', 'end': '14:20', 'location': 'SC 273', 'start': '11:50'}","False","False","A","3","","3/10","O","20043","","Research","2004"
"0000009184","1.0","0000000108","BIO","","20","","","Kathleen L. Shea","0/10","S","100","24","Organismic Biology","","126","{'day': 'Mo', 'end': '10:00', 'location': 'SC 278', 'start': '09:05'};{'day': 'We', 'end': '10:00', 'location': 'SC 278', 'start': '09:05'};{'day': 'Fr', 'end': '10:00', 'location': 'SC 278', 'start': '09:05'};{'day': 'We', 'end': '17:30', 'location': 'SC 273', 'start': '15:00'}","False","False","B","3","","6/10","O","20043","","Research","2004"
"0000009185","1.0","0000000108","BIO","","18","","","Kathleen L. Shea","2/10","S","100","24","Organismic Biology","","126","{'day': 'Mo', 'end': '10:00', 'location': 'SC 278', 'start': '09:05'};{'day': 'We', 'end': '10:00', 'location': 'SC 278', 'start': '09:05'};{'day': 'Fr', 'end': '10:00', 'location': 'SC 278', 'start': '09:05'};{'day': 'Tu', 'end': '17:30', 'location': 'SC 273', 'start': '15:00'}","False","False","C","3","","5/10","C","20043","","Research","2004"
"0000009186","1.0","0000000108","BIO","","22","","","Jason D. Hill","2/10","S","100","24","Organismic Biology","","126","{'day': 'Mo', 'end': '08:55', 'location': 'SC 278', 'start': '08:00'};{'day': 'We', 'end': '08:55', 'location': 'SC 278', 'start': '08:00'};{'day': 'Fr', 'end': '08:55', 'location': 'SC 278', 'start': '08:00'};{'day': 'Th', 'end': '10:30', 'location': 'SC 273', 'start': '08:00'}","False","False","D","3","","7/10","C","20043","","Research","2004"
"0000009187","1.0","0000000108","BIO","","29","","","Jason D. Hill","0/10","S","100","24","Organismic Biology","","126","{'day': 'Mo', 'end': '08:55', 'location': 'SC 278', 'start': '08:00'};{'day': 'We', 'end': '08:55', 'location': 'SC 278', 'start': '08:00'};{'day': 'Fr', 'end': '08:55', 'location': 'SC 278', 'start': '08:00'};{'day': 'Th', 'end': '16:45', 'location': 'SC 273', 'start': '14:15'}","False","False","E","3","","8/10","C","20043","","Research","2004"
"0000009188","1.0","0000000108","BIO","","20","","","Jason D. Hill","0/10","S","100","24","Organismic Biology","","126","{'day': 'Mo', 'end': '08:55', 'location': 'SC 278', 'start': '08:00'};{'day': 'We', 'end': '08:55', 'location': 'SC 278', 'start': '08:00'};{'day': 'Fr', 'end': '08:55', 'location': 'SC 278', 'start': '08:00'};{'day': 'Fr', 'end': '16:30', 'location': 'SC 273', 'start': '14:00'}","False","False","F","3","","10/10","C","20043","","Research","2004"
"0000009189","1.0","0000000108","BIO","","25","","","Mary C. Henry","0/10","S","100","23","Organismic Biology","","126","{'day': 'Mo', 'end': '12:45', 'location': 'SC 278', 'start': '11:50'};{'day': 'We', 'end': '12:45', 'location': 'SC 278', 'start': '11:50'};{'day': 'Fr', 'end': '12:45', 'location': 'SC 278', 'start': '11:50'};{'day': 'Mo', 'end': '15:50', 'location': 'SC 273', 'start': '13:20'}","False","False","G","3","","11/10","C","20043","","Research","2004"
"0000009190","1.0","0000000108","BIO","","20","","","Mary C. Henry","3/10","S","100","24","Organismic Biology","","126","{'day': 'Mo', 'end': '12:45', 'location': 'SC 278', 'start': '11:50'};{'day': 'We', 'end': '12:45', 'location': 'SC 278', 'start': '11:50'};{'day': 'Fr', 'end': '12:45', 'location': 'SC 278', 'start': '11:50'};{'day': 'Tu', 'end': '10:30', 'location': 'SC 273', 'start': '08:00'}","False","False","H","3","","5/10","O","20043","","Research","2004"
"0000009191","1.0","0000000108","BIO","","22","","","Mary C. Henry","0/10","S","100","24","Organismic Biology","","126","{'day': 'Mo', 'end': '12:45', 'location': 'SC 278', 'start': '11:50'};{'day': 'We', 'end': '12:45', 'location': 'SC 278', 'start': '11:50'};{'day': 'Fr', 'end': '12:45', 'location': 'SC 278', 'start': '11:50'};{'day': 'Tu', 'end': '14:15', 'location': 'SC 273', 'start': '11:45'}","False","False","I","3","","7/10","C","20043","","Research","2004"
"0000009192","1.0","0000000119","BIO","","18","","","Theodore Johnson","","S","200","20","Microbiology","","231","{'day': 'Mo', 'end': '11:40', 'location': 'SC 280', 'start': '10:45'};{'day': 'We', 'end': '11:40', 'location': 'SC 280', 'start': '10:45'};{'day': 'Fr', 'end': '11:40', 'location': 'SC 280', 'start': '10:45'};{'day': 'Tu', 'end': '14:45', 'location': 'SC 263', 'start': '11:45'}","False","False","A","3","","","C","20043","","Research","2004"
"0000009193","1.0","0000000119","BIO","","27","","","Theodore Johnson","","S","200","20","Microbiology","","231","{'day': 'Mo', 'end': '11:40', 'location': 'SC 280', 'start': '10:45'};{'day': 'We', 'end': '11:40', 'location': 'SC 280', 'start': '10:45'};{'day': 'Fr', 'end': '11:40', 'location': 'SC 280', 'start': '10:45'};{'day': 'We', 'end': '17:00', 'location': 'SC 263', 'start': '14:00'}","False","False","B","3","","","C","20043","","Research","2004"
"0000009194","1.0","0000000119","BIO","","19","","","Theodore Johnson","","S","200","20","Microbiology","","231","{'day': 'Mo', 'end': '11:40', 'location': 'SC 280', 'start': '10:45'};{'day': 'We', 'end': '11:40', 'location': 'SC 280', 'start': '10:45'};{'day': 'Fr', 'end': '11:40', 'location': 'SC 280', 'start': '10:45'};{'day': 'Th', 'end': '15:45', 'location': 'SC 263', 'start': '12:45'}","False","False","C","3","","","C","20043","","Research","2004"
"0000009195","1.0","0000000122","BIO","","17","","","Kim A. Kandl","","S","200","24","Intermediate Genetics","","233","{'day': 'Mo', 'end': '11:40', 'location': 'SC 278', 'start': '10:45'};{'day': 'We', 'end': '11:40', 'location': 'SC 278', 'start': '10:45'};{'day': 'Fr', 'end': '11:40', 'location': 'SC 278', 'start': '10:45'};{'day': 'Mo', 'end': '15:55', 'location': 'SC 211', 'start': '12:55'}","False","False","A","3","","","O","20043","","Research","2004"
"0000009196","1.0","0000000122","BIO","","24","","","Kim A. Kandl","","S","200","24","Intermediate Genetics","","233","{'day': 'Mo', 'end': '11:40', 'location': 'SC 278', 'start': '10:45'};{'day': 'We', 'end': '11:40', 'location': 'SC 278', 'start': '10:45'};{'day': 'Fr', 'end': '11:40', 'location': 'SC 278', 'start': '10:45'};{'day': 'Tu', 'end': '11:00', 'location': 'SC 211', 'start': '08:00'}","False","False","B","3","","","C","20043","","Research","2004"
"0000009197","1.0","0000000122","BIO","","21","","","Kim A. Kandl","","S","200","24","Intermediate Genetics","","233","{'day': 'Mo', 'end': '11:40', 'location': 'SC 278', 'start': '10:45'};{'day': 'We', 'end': '11:40', 'location': 'SC 278', 'start': '10:45'};{'day': 'Fr', 'end': '11:40', 'location': 'SC 278', 'start': '10:45'};{'day': 'Tu', 'end': '16:20', 'location': 'SC 211', 'start': '13:20'}","False","False","C","3","","","O","20043","","Research","2004"
"0000009198","1.0","0000000124","BIO","","19","","","Eugene Bakko","","S","200","18","Vertebrate Biology","","242","{'day': 'Tu', 'end': '09:25', 'location': 'SC 278', 'start': '08:00'};{'day': 'Th', 'end': '09:20', 'location': 'SC 278', 'start': '08:00'};{'day': 'Tu', 'end': '16:20', 'location': 'SC 269', 'start': '13:20'}","False","False","A","3","","","C","20043","","Research","2004"
