"clbid","credits","crsid","department","description","enrolled","groupid","instructors","learningmode","level","max","name","notes","number","offerings","pn","prerequisites","section","semester","status","term","title","type","year"
"0000116308","0.25","0000000299","CSCI","This is an intermediate-level version of CSCI 394.","1","","Olaf A. Hall-Holt","S","200","999","Academic Internship","","294","","True","False","A","5","C","20165","","Research","2016"
"0000116319","1.0","0000000784","MGMT","","1","","Richard Goedde","S","200","999","Academic Internship","","294","","True","False","B","5","O","20165","","Research","2016"
"0000116320","0.25","0000000153","BIO","Internships are designed to provide career-testing opportunities. Students interested in an internship should consult with the Piper Center for Vocation and Career, enlist a faculty supervisor, and complete an internship application. Internships do not count toward the biology major requirements.","1","","Kevin M. Crisp","S","200","999","Academic Internship","","294","","True","False","C","5","C","20165","","Research","2016"
"0000116352","1.0","0000001110","PSCI","War and peace, justice and power -- these are age-old topics of the politics among nations. This course examines them by emphasizing certain problem areas in the world and evaluating the principal theories for understanding international politics. Offered annually.","16","","Anthony Pahnke","S","100","18","International Relations","Course only open for Summer Bridge Program students.","121","","False","False","","5","C","20165","","Research","2016"
"0000116353","1.0","0000000795","MEDIA","","1","","Bill Sonnega","S","200","999","Academic Internship","","294","","True","False","S","5","O","20165","","Research","2016"
"0000116389","0.25","0000000276","ECON","","1","","Thomas Bernardin","S","200","999","Academic Internship","","294","","True","False","C","5","C","20165","","Research","2016"
"0000116459","1.0","0000000784","MGMT","","1","","Sian E. Christie","S","200","999","Academic Internship","","294","","True","False","C","5","O","20165","","Research","2016"
"0000116515","1.0","0000000236","CLASS","","1","","Anne Groton","S","300","999","IR/Ancient Near East Economies","","398","","False","False","","5","O","20165","Independent Research","Research","2016"
"0000116572","1.0","0000019412","PHYS","This course provides a comprehensive research opportunity, including an introduction to relevant background material, technical instruction, identification of a meaningful project, and data collection. The topic is determined by the faculty member in charge of the course and may relate to his/her research interests. Offered based on department decision. May be offered as a 1.00 credit course or .50 credit course. Prerequisite: determined by individual instructor.","1","","Jason J. Engbrecht","S","300","1","Directed Undergraduate Research","This is a special offering.","396","","False","determined by individual instructor.","","5","C","20165","","Research","2016"
"0000116573","1.0","0000000175","BIO","Independent research is offered for students dedicated to an in-depth research experience. In conjunction with a faculty supervisor, a student conceives and performs a research project leading to the production of a major piece of work such as a research paper or poster presentation. Independent research requires permission of a supervisor and completion of an independent research form available at the Registrar's Office or its Web site.","1","","John Giannini","S","300","999","IR/3D Printing Technology","","398","","False","False","","5","O","20165","Independent Research","Research","2016"
