"clbid","credits","crsid","department","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","max","name","number","pn","section","semester","status","term","type","year"
"0000015580","1.0","0000000471","IDFA","1","0","0","0","1","","Staff","{'fsnum': '', 'name': 'Staff'}","200","","Internship","294","True","","2","O","19942","Research","1994"
"0000015612","1.0","0000000714","LATIN","3","0","3","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","200","3","Medieval Latin","235","False","","2","C","19942","Research","1994"
"0000015613","1.0","0000000735","MATH","14","10","3","0","1","MAR","Staff","{'fsnum': '', 'name': 'Staff'}","100","20","Principles of Math","110","False","","2","C","19942","Research","1994"
"0000015614","1.0","0000001937","MATH","19","5","2","7","5","MAR","Staff","{'fsnum': '', 'name': 'Staff'}","100","25","Mathology","113","False","","2","O","19942","Research","1994"
"0000015615","1.0","0000000744","MATH","23","5","4","10","4","","Staff","{'fsnum': '', 'name': 'Staff'}","200","28","Number Theory","238","False","","2","O","19942","Research","1994"
"0000015616","1.0","0000000758","MATH","18","0","5","2","11","","Staff","{'fsnum': '', 'name': 'Staff'}","300","20","Geometry","356","False","","2","C","19942","Research","1994"
"0000015617","1.0","0000000765","MATH","11","0","1","0","10","","Staff","{'fsnum': '', 'name': 'Staff'}","300","15","Mathematics Practicum","390","False","","2","O","19942","Research","1994"
"0000015618","1.0","0000000803","MUSIC","28","13","12","2","1","ALS-A","Staff","{'fsnum': '', 'name': 'Staff'}","100","23","The Music Spectrum","130","False","","2","C","19942","Research","1994"
"0000015619","1.0","0000001964","MUSIC","25","14","5","1","5","ALS-A","Staff","{'fsnum': '', 'name': 'Staff'}","100","23","Music & Poetry","131","False","","2","C","19942","Research","1994"
"0000015620","1.0","0000000823","MUSIC","12","0","3","7","2","ALS-A","Staff","{'fsnum': '', 'name': 'Staff'}","200","10","Music/Electronic Med","225","False","","2","C","19942","Research","1994"
"0000015621","1.0","0000000824","MUSIC","24","1","9","3","11","ALS-A;MCS-D","Staff","{'fsnum': '', 'name': 'Staff'}","200","23","History of Jazz","231","False","","2","C","19942","Research","1994"
"0000015622","1.0","0000001970","MUSIC","9","0","0","6","3","","Staff","{'fsnum': '', 'name': 'Staff'}","200","28","The Singer's Art","268","False","","2","O","19942","Research","1994"
"0000015623","1.0","0000000846","MUSIC","1","0","0","0","1","","Staff","{'fsnum': '', 'name': 'Staff'}","200","","Internship","294","True","","2","O","19942","Research","1994"
"0000015624","1.0","0000000847","MUSIC","1","0","1","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","200","","IS/Mozart Soprano Rol","298","False","","2","O","19942","Research","1994"
"0000015625","1.0","0000000866","MUSIC","1","0","0","0","1","","Staff","{'fsnum': '', 'name': 'Staff'}","300","","IR/Adv Singer's Art","398","False","","2","O","19942","Research","1994"
"0000015626","1.0","0000000923","NORW","12","8","2","2","0","ALS-L","Staff","{'fsnum': '', 'name': 'Staff'}","100","23","Norw Folklore/Myth-Tr","127","False","","2","O","19942","Research","1994"
"0000015627","1.0","0000002018","NORW","25","1","1","22","1","ALS-L","Staff","{'fsnum': '', 'name': 'Staff'}","200","28","Scandinavian Drama-Tr","248","False","","2","O","19942","Research","1994"
"0000015628","1.0","0000000937","NORW","1","0","0","0","1","","Staff","{'fsnum': '', 'name': 'Staff'}","300","","IR/My Norwegian Famly","398","False","","2","O","19942","Research","1994"
"0000015629","1.0","0000002022","NURS","16","14","0","0","2","","Staff","{'fsnum': '', 'name': 'Staff'}","100","25","Images of Wellness","120","False","","2","O","19942","Research","1994"
"0000015630","1.0","0000002023","NURS","19","0","8","2","9","","Staff","{'fsnum': '', 'name': 'Staff'}","300","20","Health Care in India","370","False","","2","C","19942","Research","1994"
"0000015631","1.0","0000000961","NURS","1","0","0","0","1","","Staff","{'fsnum': '', 'name': 'Staff'}","300","","Internship","394","True","","2","O","19942","Research","1994"
"0000015483","","0000000001","PARAF","17","5","2","1","4","","","","100","","Paracollege Full-Time","100","False","A","2","O","19942","Research","1994"
"0000015641","1.0","0000001057","PETH","2","0","1","0","1","","Staff","{'fsnum': '', 'name': 'Staff'}","200","","Internship","294","True","","2","O","19942","Research","1994"
"0000015642","1.0","0000001058","PETH","1","0","0","0","1","","Staff","{'fsnum': '', 'name': 'Staff'}","200","","IS/Erg Aids in Sports","298","False","","2","O","19942","Research","1994"
"0000015643","1.0","0000001058","PETH","1","0","1","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","200","","IS/Training Room Mgmt","298","False","A","2","O","19942","Research","1994"
