"clbid","credits","crsid","department","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","max","max_fy","max_jr","max_so","max_sr","name","notes","number","offerings","pn","section","semester","status","term","type","year"
"0000007640","1.0","0000000069","ART","1","0","1","0","0","","Arneson, Wendell","{'fsnum': '276', 'name': 'Arneson, Wendell'}","200","","","","","","IS/Picasso Use of Wmn","","298","","False","G","1","O","20041","Research","2004"
"0000007641","1.0","0000000069","ART","1","0","1","0","0","","Gallas, Ron","{'fsnum': '2492', 'name': 'Gallas, Ron'}","200","","","","","","IS/Figurative Ceramic","","298","","False","H","1","O","20041","Research","2004"
"0000007642","1.0","0000000069","ART","1","0","0","0","1","","Griep, Mary","{'fsnum': '2757', 'name': 'Griep, Mary'}","200","","","","","","IS/Art/Phil Dialogue","","298","","False","I","1","O","20041","Research","2004"
"0000053348","1.0","0000000069","ART","1","0","0","0","1","","Griep, Mary","{'fsnum': '2757', 'name': 'Griep, Mary'}","200","","","","","","IS/Drawing Exploration","","298","","False","J","1","O","20041","Research","2004"
"0000007643","1.0","0000000070","ART","20","0","1","0","19","","Saurer, John","{'fsnum': '7064', 'name': 'Saurer, John'}","300","18","","","","","Topics Sem/Studio Art","","340","{'day': 'Mo', 'end': '10:00', 'location': 'CAD 204', 'start': '08:00'};{'day': 'We', 'end': '10:00', 'location': 'CAD 204', 'start': '08:00'};{'day': 'Fr', 'end': '10:00', 'location': 'CAD 204', 'start': '08:00'}","False","","1","C","20041","Topic","2004"
"0000007644","1.0","0000000073","ART","0","0","0","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","300","","","","","","Academic Internship","","394","","True","","1","O","20041","Research","2004"
"0000007645","1.0","0000000075","ART","1","0","0","0","1","WRI","Brooks-Shirey, Heather M.","{'fsnum': '14840', 'name': 'Brooks-Shirey, Heather M.'}","300","","","","","","IR/Nonviolence","","398","","False","","1","O","20041","Research","2004"
"0000007646","1.0","0000000075","ART","1","0","0","0","1","","Kucera, Karil J.","{'fsnum': '14964', 'name': 'Kucera, Karil J.'}","300","","","","","","IR/Bosatsu in Japan","","398","","False","A","1","O","20041","Research","2004"
"0000007647","1.0","0000000075","ART","1","0","0","0","1","WRI","Thompson, Nancy M.","{'fsnum': '13137', 'name': 'Thompson, Nancy M.'}","300","","","","","","IR/Iranian Women Art","","398","","False","B","1","O","20041","Research","2004"
"0000007648","1.0","0000000075","ART","0","0","0","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","300","","","","","","IR/","","398","","False","C","1","O","20041","Research","2004"
"0000007649","1.0","0000000076","ASIAN","21","19","0","0","2","FYW","Reed, Barbara","{'fsnum': '6625', 'name': 'Reed, Barbara'}","100","18","","","","","Family & Self/E Asia","","111","{'day': 'Tu', 'end': '13:10', 'location': 'OM 015', 'start': '23:45'};{'day': 'Th', 'end': '14:05', 'location': 'OM 015', 'start': '12:45'}","False","","1","C","20041","Research","2004"
"0000007650","1.0","0000000078","ASIAN","22","5","4","7","6","MCS-G","Bodman, Richard","{'fsnum': '656', 'name': 'Bodman, Richard'}","100","35","","","","","Asian Cultures","","121","{'day': 'Mo', 'end': '14:55', 'location': 'OM 001', 'start': '14:00'};{'day': 'We', 'end': '14:55', 'location': 'OM 001', 'start': '14:00'};{'day': 'Fr', 'end': '14:55', 'location': 'OM 001', 'start': '14:00'}","False","","1","O","20041","Research","2004"
"0000007651","1.0","0000000083","ASIAN","31","0","10","5","16","ALS-A;MCS-G","Wan, Pin Pin","{'fsnum': '8890', 'name': 'Wan, Pin Pin'}","100","30","","","","","Cont China Thru Film","","156","{'day': 'Tu', 'end': '13:10', 'location': 'OM 001', 'start': '23:45'};{'day': 'Th', 'end': '14:05', 'location': 'OM 001', 'start': '12:45'}","False","","1","C","20041","Research","2004"
"0000007652","1.0","0000000084","ASIAN","17","0","1","15","1","HBS;WRI","Tegtmeyer Pak, Katherine S.","{'fsnum': '15754', 'name': 'Tegtmeyer Pak, Katherine S.'}","200","20","","","","","Rice & Society/E Asia","","211","{'day': 'Tu', 'end': '14:45', 'location': 'OM 011', 'start': '13:20'};{'day': 'Th', 'end': '15:35', 'location': 'OM 011', 'start': '14:15'}","False","","1","C","20041","Research","2004"
"0000007653","1.0","0000000094","ASIAN","2","0","1","0","1","","Wan, Pin Pin","{'fsnum': '8890', 'name': 'Wan, Pin Pin'}","200","","","","","","IS/Film in Chinese","","298","","False","","1","O","20041","Research","2004"
"0000007654","1.0","0000000094","ASIAN","1","0","0","0","1","","Larson, Phyllis Hyland","{'fsnum': '4624', 'name': 'Larson, Phyllis Hyland'}","200","","","","","","IS/4th Year Japanese","","298","","False","A","1","O","20041","Research","2004"
"0000053584","1.0","0000000094","ASIAN","1","0","1","0","0","WRI","Wan, Pin Pin","{'fsnum': '8890', 'name': 'Wan, Pin Pin'}","200","","","","","","IS/Film in Chinese","","298","","False","B","1","O","20041","Research","2004"
"0000007655","1.0","0000000097","ASIAN","1","0","0","0","1","","Entenmann, Robert","{'fsnum': '1821', 'name': 'Entenmann, Robert'}","300","","","","","","IR/Finding Butoh","","398","","False","","1","O","20041","Research","2004"
